SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE
03896178,46.55,45.88333333333333,98.33333333333333,34.65,72.55
03896889,28.142857142857142,22.857142857142858,78.35714285714286,7.642857142857143,26.857142857142858
03896909,19.6,13.2,67.8,4.6,23.4
03896927,11.0,10.0,91.0,1.0,9.0
03899175,12.416666666666666,8.416666666666666,68.16666666666667,2.5,19.5
03939000,229.8360655737705,194.11475409836066,84.11475409836065,35.81967213114754,16.098360655737704
03939001,65.51666666666667,60.46666666666667,92.16666666666667,31.666666666666668,48.416666666666664
03939003,157.02777777777777,152.25,96.40277777777777,106.16666666666667,61.40277777777778
03939004,67.87341772151899,62.11392405063291,89.92405063291139,31.658227848101266,39.48101265822785
03939006,169.31506849315068,162.26027397260273,95.21917808219177,102.28767123287672,56.178082191780824
03939007,116.46376811594203,108.5072463768116,92.23188405797102,45.869565217391305,36.26086956521739
03939008,154.8421052631579,152.28947368421052,98.22368421052632,114.5,68.71052631578948
03939010,110.7910447761194,105.02985074626865,94.50746268656717,60.507462686567166,51.37313432835821
03939011,165.0897435897436,155.8846153846154,93.2948717948718,86.96153846153847,44.58974358974359
03939012,154.86301369863014,150.43835616438355,96.56164383561644,108.28767123287672,62.945205479452056
03939014,142.28985507246378,134.84057971014494,94.76811594202898,78.76811594202898,51.52173913043478
03939015,272.5416666666667,263.52777777777777,96.34722222222223,187.58333333333334,62.90277777777778
03939016,222.91780821917808,208.02739726027397,91.08219178082192,122.31506849315069,48.58904109589041
03939017,108.02941176470588,102.58823529411765,94.55882352941177,61.338235294117645,53.63235294117647
03939018,203.74647887323943,193.80281690140845,94.91549295774648,104.35211267605634,47.098591549295776
03939019,152.625,148.83333333333334,97.45833333333333,114.41666666666667,69.54166666666667
03939020,136.72058823529412,127.36764705882354,92.36764705882354,58.411764705882355,40.01470588235294
03939022,184.16216216216216,173.02702702702703,92.6891891891892,112.20270270270271,54.36486486486486
03939024,100.36666666666666,98.11666666666666,97.71666666666667,78.1,77.5
03995051,16.59090909090909,16.522727272727273,99.45454545454545,16.227272727272727,97.31818181818181
03996002,153.57142857142858,153.40816326530611,99.83673469387755,143.20408163265307,93.38775510204081
03996004,89.625,89.54166666666667,99.91666666666667,86.875,96.91666666666667
03996007,147.23529411764707,146.45098039215685,99.45098039215686,107.82352941176471,72.27450980392157
03996011,56.509803921568626,56.509803921568626,100.0,54.07843137254902,95.76470588235294
03996019,92.1875,92.10416666666667,99.91666666666667,87.4375,94.75
03996022,91.8,90.93333333333334,98.95,52.28333333333333,55.8
03996030,79.21666666666667,79.21666666666667,100.0,56.35,70.36666666666666
03996319,11.0,9.4,85.8,2.6,23.6
03996332,20.254545454545454,20.181818181818183,99.58181818181818,8.963636363636363,42.49090909090909
03996435,30.93220338983051,30.728813559322035,99.33898305084746,25.322033898305083,80.64406779661017
03996451,28.10169491525424,27.89830508474576,99.0,22.1864406779661,78.98305084745763
03996497,28.0,24.0,85.6,4.0,15.8
03996527,28.88679245283019,24.735849056603772,87.49056603773585,6.415094339622642,19.0188679245283
03996538,15.5,14.375,92.6875,10.4375,66.0
03996601,12.857142857142858,11.571428571428571,89.92857142857143,5.214285714285714,36.42857142857143
03996645,53.39344262295082,53.32786885245902,99.85245901639344,48.885245901639344,91.29508196721312
03996659,52.55,47.416666666666664,90.76666666666667,11.983333333333333,24.2
