,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,SCHOOL_NUMBER,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
109,02727047,27.0,1,170.57142857142858,10.16147831409433,7.383483626008543,18.046410574746247,20.101066897347078,24.568234505862417,22.985714285714288,02727047,27.0,4774.0,6278.0,5941.0,5331.0,4746.0
110,02727048,27.0,1,6.285714285714286,15.032587049665079,9.171096345514952,14.714285714285714,21.885714285714283,26.914285714285715,21.780282519128885,02727048,27.0,0.0,0.0,0.0,0.0,0.0
111,02727054,27.0,1,6.153846153846154,12.178913115126981,9.171096345514952,13.388185428826633,12.692307692307692,13.953846153846152,11.123076923076923,02727054,27.0,212.0,146.0,57.0,0.0,0.0
112,02727056,27.0,1,142.84615384615384,17.25834288817814,5.219652440582673,18.04641057474624,20.101066897347074,24.216831851565303,20.115384615384617,02727056,27.0,4213.0,3427.0,7969.0,7748.0,7215.0
113,02727057,27.0,1,12.923076923076923,13.871220807434675,9.171096345514952,18.661538461538463,21.807692307692314,27.253846153846155,21.780282519128885,02727057,27.0,0.0,0.0,0.0,0.0,0.0
114,02727059,27.0,1,3.923076923076923,13.02757365740891,9.171096345514952,12.01071013263375,10.93085129979593,13.136018038912493,13.823076923076922,02727059,27.0,97.0,125.0,48.0,0.0,0.0
115,02727061,27.0,1,8.23076923076923,13.873727503562757,9.171096345514952,16.93846153846154,19.5,24.592307692307696,21.780282519128885,02727061,27.0,0.0,0.0,0.0,0.0,0.0
116,02727062,27.0,1,9.076923076923077,14.104496734331986,8.542550472783033,18.638461538461538,21.23846153846154,25.923076923076923,21.780282519128885,02727062,27.0,0.0,0.0,0.0,0.0,0.0
117,02727065,27.0,1,12.923076923076923,15.02757365740891,9.171096345514952,18.207692307692305,21.161538461538463,26.24615384615385,21.780282519128885,02727065,27.0,0.0,0.0,0.0,0.0,0.0
118,02727066,27.0,1,2.6153846153846154,13.02757365740891,9.171096345514952,12.472248594172212,10.53076923076923,11.720633423527879,13.256988273645128,02727066,27.0,63.0,48.0,31.0,0.0,0.0
119,02727069,27.0,1,111.85714285714286,12.451847892617911,6.906027527289987,18.046410574746247,20.101066897347078,24.568234505862417,23.0,02727069,27.0,3186.0,3900.0,3773.0,3560.0,2842.0
120,02727070,27.0,1,3.769230769230769,12.950650580485833,9.171096345514952,11.556311759517786,8.869312838257468,11.112941115835572,10.476923076923075,02727070,27.0,59.0,60.0,21.0,0.0,0.0
121,02727071,27.0,1,5.153846153846154,13.181419811255065,9.171096345514952,16.23790931919173,15.777005145949774,16.75140265429711,15.153846153846153,02727071,27.0,212.0,228.0,111.0,1.0,0.0
122,02727072,27.0,1,358.0,21.527155874720894,9.975913621262459,18.046410574746247,20.101066897347078,18.25,21.7,02727072,27.0,8045.0,6785.0,6003.0,6140.0,5570.0
123,02828002,28.0,1,1.2307692307692308,9.63543818440928,9.171096345514952,14.856863978787597,13.923076923076923,13.846153846153847,21.780282519128885,02828002,28.0,0.0,0.0,0.0,0.0,0.0
124,02828004,28.0,1,144.53846153846155,39.0,7.092128801431129,18.04641057474624,20.101066897347074,24.568234505862414,22.71538461538461,02828004,28.0,17247.0,16759.0,2091.0,2148.0,2063.0
125,02828008,28.0,1,3.1538461538461537,2.6923076923076925,9.171096345514952,18.0071400884225,19.038461538461537,22.353846153846156,21.780282519128885,02828008,28.0,0.0,0.0,0.0,0.0,0.0
126,02828012,28.0,1,1.5714285714285714,3.576083864237868,9.171096345514952,11.142857142857142,11.142857142857142,11.542857142857143,21.780282519128885,02828012,28.0,0.0,0.0,0.0,0.0,0.0
127,02828016,28.0,1,9.846153846153847,8.846153846153847,9.171096345514952,18.46153846153846,20.423076923076923,25.046153846153842,21.780282519128885,02828016,28.0,0.0,0.0,0.0,0.0,0.0
128,02828019,28.0,1,12.8,11.7,9.171096345514952,18.9,19.91,23.44,21.780282519128885,02828019,28.0,0.0,0.0,0.0,0.0,0.0
129,02828020,28.0,1,7.076923076923077,5.615384615384615,9.171096345514952,18.646153846153847,21.184615384615388,26.06153846153846,21.780282519128885,02828020,28.0,0.0,0.0,0.0,0.0,0.0
130,02828021,28.0,1,8.76923076923077,6.538461538461538,9.171096345514952,19.4,22.16153846153846,26.500000000000004,21.780282519128885,02828021,28.0,0.0,0.0,0.0,0.0,0.0
131,02828024,28.0,1,7.25,6.0,9.171096345514952,18.308333333333334,21.208333333333332,24.58333333333333,21.780282519128885,02828024,28.0,0.0,0.0,0.0,0.0,0.0
132,02828032,28.0,1,9.461538461538462,8.923076923076923,9.171096345514952,20.200000000000003,22.176923076923078,26.94615384615385,21.780282519128885,02828032,28.0,0.0,0.0,0.0,0.0,0.0
133,02828034,28.0,1,139.23076923076923,33.62290470376887,4.129568106312292,18.04641057474624,20.101066897347074,24.568234505862414,23.907692307692304,02828034,28.0,2998.0,2590.0,12255.0,11692.0,11009.0
134,02828036,28.0,1,10.384615384615385,9.153846153846153,9.171096345514952,19.5,21.292307692307695,23.815384615384616,21.780282519128885,02828036,28.0,0.0,0.0,0.0,0.0,0.0
135,02828038,28.0,1,3.8461538461538463,7.85868732679426,9.171096345514952,17.46153846153846,19.76153846153846,23.676923076923075,21.780282519128885,02828038,28.0,0.0,0.0,0.0,0.0,0.0
136,02828039,28.0,1,6.6923076923076925,6.771737465358852,9.171096345514952,17.76923076923077,20.73076923076923,22.03076923076923,21.780282519128885,02828039,28.0,0.0,0.0,0.0,0.0,0.0
137,02828040,28.0,1,4.769230769230769,5.235782623025396,8.542550472783033,18.76923076923077,21.092307692307692,23.523076923076925,21.780282519128885,02828040,28.0,0.0,0.0,0.0,0.0,0.0
138,02828041,28.0,1,2.076923076923077,5.007520088384249,9.171096345514952,12.461538461538462,12.2,13.615384615384615,20.797183863811277,02828041,28.0,0.0,0.0,0.0,0.0,0.0
139,02899005,28.0,1,22.0,22.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,12.3,02899005,28.0,0.0,0.0,124.0,61.0,51.0
140,03333001,33.0,1,7.666666666666667,4.666666666666667,9.171096345514952,18.25,20.95,24.5,21.780282519128885,03333001,33.0,0.0,0.0,0.0,0.0,0.0
