SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE,Unnamed: 0,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
2899005,10.5,10.0,95.0,1.5,15.0,139,2899005,28.0,1,22.0,22.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,12.3,28.0,0.0,0.0,124.0,61.0,51.0
3333012,166.22619047619048,153.77380952380952,91.67857142857143,66.83333333333333,35.17857142857143,148,3333012,33.0,1,214.0769230769231,43.92307692307693,12.949399437771527,18.04641057474624,20.101066897347074,24.568234505862414,24.476923076923075,33.0,0.0,0.0,19970.0,19678.0,18016.0
3333018,227.14117647058828,215.27058823529413,94.47058823529413,109.71764705882352,43.38823529411765,153,3333018,33.0,1,246.6923076923077,39.384615384615394,17.334014822386912,18.04641057474624,20.101066897347074,24.568234505862414,25.515384615384622,33.0,0.0,1.0,23740.0,24475.0,22586.0
3333043,88.7936507936508,81.6825396825397,91.04761904761904,35.53968253968254,35.650793650793645,167,3333043,33.0,1,256.0833333333333,38.75,9.097591362126249,18.046410574746247,20.101066897347074,26.750000000000004,23.53333333333333,33.0,17805.0,11417.0,10362.0,8685.0,7161.0
3434022,146.9156626506024,140.36144578313252,95.07228915662651,57.45783132530121,33.963855421686745,179,3434022,34.0,1,173.76923076923077,43.30769230769231,11.463582928699207,18.04641057474624,20.101066897347074,24.568234505862414,23.238461538461536,34.0,0.0,10993.0,11134.0,13128.0,11637.0
3434038,170.50617283950618,165.9259259259259,96.91358024691358,102.61728395061728,55.09876543209877,191,3434038,34.0,1,177.76923076923077,23.461538461538463,15.322898032200351,18.04641057474624,20.101066897347074,24.568234505862414,25.192307692307697,34.0,0.0,13365.0,13867.0,14463.0,11664.0
3434041,190.18072289156623,183.8674698795181,95.92771084337349,102.53012048192772,47.85542168674698,193,3434041,34.0,1,217.46153846153842,21.848660542281927,12.155890621006893,18.04641057474624,20.101066897347074,24.568234505862414,25.79230769230769,34.0,0.0,16659.0,17002.0,17522.0,15697.0
3434052,117.54794520547944,112.5068493150685,95.04109589041096,57.342465753424655,44.19178082191781,204,3434052,34.0,1,114.0,18.23076923076923,16.245974955277276,18.04641057474624,20.101066897347074,24.568234505862414,25.415384615384607,34.0,0.0,8591.0,8564.0,9507.0,8272.0
3434054,130.79746835443038,126.2278481012658,96.51898734177216,64.45569620253164,44.493670886075954,206,3434054,34.0,1,148.76923076923075,25.384615384615387,13.861359570661893,18.04641057474624,20.101066897347074,24.568234505862414,24.75384615384615,34.0,0.0,11294.0,11556.0,11208.0,9096.0
3434061,78.85,74.68333333333334,94.46666666666668,41.75,51.38333333333333,213,3434061,34.0,1,98.46153846153848,7.3946421691277155,11.694352159468439,18.04641057474624,20.101066897347074,24.568234505862414,24.861538461538462,34.0,0.0,9628.0,7500.0,6884.0,5368.0
